pipe_uid,s_start_m,s_end_m,hmin_m,hmax_m,cav_any
d813991b-5c3f-46b5-906a-5e6d17ca0eae,0.0,25.0,-10.0,4969.782383510359,False
d434a49f-ad85-4908-bc58-13e8fbc05d02,25.0,1135.0,-10.0,4969.782383510359,False
289d3c87-f98c-4781-ae4f-e787ec0589ea,1135.0,1155.0,-10.0,1562.2328891859886,False
62566cbc-70cb-446b-9622-cb349d317c79,1155.0,1487.0,-10.0,1754.6143230981995,False
c7e4615f-9ebc-49f5-8fff-03842ee72c16,1487.0,2089.0,-10.0,2218.668213493287,False
8c890721-916c-45a8-b355-337424360d85,2089.0,2125.0,-10.0,2232.786635411626,False
8744b474-d40c-49d0-8a16-85017a1b9dd7,2125.0,2131.0,-10.0,2255.9964249331815,False
ebef115e-8b81-494f-b58d-8b466d77b11b,2131.0,2133.8,-10.0,2276.5739153245813,False
2c78d668-bae2-4186-8316-e997182ccaad,2133.8,2162.8,-10.0,2295.7097812332427,False
1b82306a-8e61-4ebc-b8d1-9511b4d4f3f4,2162.8,2180.8,-10.0,2313.7067343176477,False
4a81a837-79db-4194-b7c8-a071298726e2,2180.8,2278.8,-10.0,2345.3262694983587,False
cbe765fb-4e55-4848-bd12-36a06abacf1e,2278.8,2282.0,-10.0,2359.945371257223,False
b97ba79d-9132-4670-8ba4-2bd9c2322233,2282.0,2284.5,-10.0,2372.2320046313366,False
ed8af0d7-57f1-4ebf-974d-4ec04d3fa569,2284.5,2288.25,-10.0,2383.7471216240037,False
df3211b0-9f37-4d27-bcf7-087f0990567a,2288.25,2289.5,-10.0,2393.6974271805807,False
